Date,Platform,Region,Sentiment_Score,Mentions,Engagement_Rate
2022-08-04 08:45:58,TikTok,South America,-0.8316313443148522,555,0.11110531720508883
2023-11-24 21:57:36,Facebook,Africa,-0.9643582314099051,5494,0.14743858322108394
2022-03-24 11:17:38,Twitter,Africa,0.48730521351306444,8402,0.08875268927662054
2023-11-15 00:25:12,Facebook,Asia,0.904833312866214,3404,0.01876803677771818
2023-10-30 21:15:16,TikTok,Australia,-0.4844505854750383,3949,0.16161114871470575
2023-10-13 07:34:09,LinkedIn,Africa,0.07677203435196067,5113,0.05930440650285385
2022-02-17 05:08:43,LinkedIn,Africa,0.37661808345921344,7121,0.03165719776897088
2022-03-25 00:53:26,Instagram,Asia,-0.07756190648385819,2969,0.18560210367077926
2022-04-09 10:37:19,Twitter,Asia,-0.8136811105436872,2695,0.0343562536616387
2022-05-24 20:07:55,Twitter,North America,0.7978111222159343,8456,0.05984941717124204
2023-10-13 05:38:06,TikTok,Asia,-0.19047370952153986,6363,0.10912979694698575
2023-12-29 13:55:39,Twitter,Africa,0.3200253816785774,6697,0.017734580104178693
2022-10-14 13:08:07,Facebook,North America,0.3738748924398996,9706,0.16714345588629514
2023-04-16 04:30:03,Twitter,South America,0.015964019587070943,3208,0.08244038534422309
2022-12-14 20:53:21,TikTok,Africa,0.2802386585388421,290,0.10579027791855543
2023-09-25 11:33:38,TikTok,Africa,0.4348525503411875,8750,0.10390694992264846
2023-01-06 04:50:49,TikTok,Europe,0.5769970151023514,3508,0.1360079689363278
2022-03-11 10:06:35,TikTok,South America,0.7325490601941049,3526,0.059492201317462065
2022-04-26 11:08:29,Facebook,Africa,0.47708531198813287,6579,0.07500677972461745
2023-11-17 01:19:47,Facebook,Australia,-0.17437461891835082,9629,0.14022552443731878
2022-12-25 03:38:53,TikTok,South America,-0.19589352737463095,326,0.09728402071835046
2023-06-19 19:50:00,LinkedIn,South America,-0.599033203189608,8878,0.15194628398719695
2022-03-13 04:59:29,TikTok,Europe,0.8589015716402761,8446,0.1886744355062835
2022-10-20 21:52:26,Twitter,Australia,0.9337345046613532,8431,0.10727173411334391
2023-03-25 18:34:35,LinkedIn,South America,-0.0595762740125092,2177,0.09136945171982064
2023-10-11 21:24:38,Twitter,Africa,0.8208109043064677,8922,0.15421289845237113
2022-01-03 23:28:11,Twitter,South America,-0.028571016395585014,5752,0.18776378366745713
2023-02-27 01:50:00,Instagram,North America,0.012105910399563768,6416,0.03735683341500035
2023-03-18 22:42:50,Twitter,Asia,-0.3681724543777971,6503,0.1530591100541345
2022-11-22 06:51:32,LinkedIn,Europe,-0.7527729912953232,6982,0.14434873184180608
2022-03-11 06:21:59,Facebook,North America,0.19620741393603836,2795,0.10748325236418654
2023-08-16 10:42:24,Instagram,Africa,-0.8687301303750756,7869,0.18806653587214003
2023-12-18 11:18:52,Twitter,South America,-0.6102121399926841,2855,0.13944211877107207
2023-03-20 19:09:22,Twitter,Asia,0.93165904475833,9751,0.13654171875475474
2023-02-14 20:20:35,TikTok,Europe,-0.25475664275099996,5546,0.037079621699258554
2022-06-23 12:10:26,TikTok,Africa,0.32260112265541396,8877,0.10413922197699958
2023-07-17 11:53:41,Twitter,Africa,0.9245788018862313,6526,0.061612992446346555
2023-08-25 23:09:41,Instagram,Europe,-0.5642074465467068,8965,0.08207595366957227
2022-04-19 00:59:25,Facebook,South America,0.5414838646489664,7602,0.13605958943631197
2023-07-08 21:07:46,TikTok,North America,0.9152667908898986,1930,0.14666951429493744
2023-05-14 22:24:20,Instagram,Africa,0.9556160091334884,4745,0.06502494546040824
2022-09-28 14:22:30,TikTok,South America,-0.7412927752606191,5011,0.09625560044757422
2023-06-29 18:40:28,Instagram,South America,0.534453560919615,8610,0.13995256190160915
2023-04-24 07:52:27,LinkedIn,Asia,-0.9886858750943854,5211,0.08283657707676408
