Customer_ID,Purchase_History,Recommended_Product_ID,Recommendation_Score
Customer_1,Product_005,Product_005,0.8468206495120423
Customer_2,Product_010;Product_002,Product_002,0.9040167529936974
Customer_3,Product_009;Product_006;Product_019,Product_006,0.7316845606490668
Customer_4,Product_010;Product_001;Product_012,Product_009,0.8050645734312966
Customer_5,Product_007;Product_012;Product_015,Product_014,0.9576937007378559
Customer_6,Product_007;Product_016;Product_010,Product_003,0.7094163613198241
Customer_7,Product_019;Product_004,Product_019,0.9310355758399235
Customer_8,Product_007,Product_011,0.8981341363764769
Customer_9,Product_005,Product_020,0.7644250855893949
Customer_10,Product_016;Product_009;Product_004,Product_005,0.7418743203634988
Customer_11,Product_010;Product_008,Product_016,0.8225911277262046
Customer_12,Product_015,Product_018,0.7011485371923214
Customer_13,Product_002;Product_008,Product_008,0.9399565869414767
Customer_14,Product_020;Product_014;Product_012,Product_003,0.7619168795548895
Customer_15,Product_010;Product_020;Product_008,Product_008,0.9094493779977915
Customer_16,Product_007;Product_011;Product_001,Product_008,0.9887586743321426
Customer_17,Product_017;Product_012;Product_019,Product_004,0.9175840569052418
Customer_18,Product_011;Product_010,Product_007,0.8586369747722379
Customer_19,Product_010;Product_019;Product_001,Product_007,0.9852284482602021
Customer_20,Product_012;Product_002,Product_013,0.9890549965051811
Customer_21,Product_009;Product_010;Product_007,Product_007,0.8145327958775003
Customer_22,Product_012;Product_007,Product_017,0.8174591109457601
Customer_23,Product_020,Product_011,0.9796820458718178
Customer_24,Product_019;Product_014;Product_016,Product_015,0.8727136293552916
Customer_25,Product_020;Product_018;Product_001,Product_017,0.8240469628460275
Customer_26,Product_019;Product_015,Product_002,0.7143097545729903
Customer_27,Product_017;Product_001;Product_005,Product_009,0.7461551884523985
Customer_28,Product_010;Product_005;Product_018,Product_001,0.9981516157401622
Customer_29,Product_001;Product_016;Product_005,Product_011,0.9445746487737371
Customer_30,Product_013;Product_003;Product_008,Product_008,0.822668689326532
Customer_31,Product_014;Product_016,Product_014,0.7639138007396961
Customer_32,Product_014;Product_003,Product_017,0.7739820720978503
Customer_33,Product_020;Product_014,Product_010,0.8621282800902077
Customer_34,Product_009,Product_009,0.8040885361935148
Customer_35,Product_011;Product_007;Product_014,Product_020,0.939999608351345
Customer_36,Product_015;Product_011,Product_020,0.7846240213069162
Customer_37,Product_009;Product_012;Product_005,Product_018,0.9990822547877605
Customer_38,Product_002,Product_008,0.907347023009927
Customer_39,Product_008;Product_019,Product_006,0.8897070145982908
Customer_40,Product_002;Product_012;Product_004,Product_001,0.917959031913176
Customer_41,Product_011;Product_007;Product_008,Product_018,0.9444000478042717
Customer_42,Product_002,Product_009,0.7504969727028264
Customer_43,Product_017;Product_018,Product_011,0.7984114724434807
Customer_44,Product_016;Product_007;Product_015,Product_015,0.9419041667118471
Customer_45,Product_005;Product_016;Product_007,Product_009,0.8234327526667046
Customer_46,Product_016;Product_019,Product_003,0.7114493124121568
Customer_47,Product_018,Product_002,0.7756738234085486
Customer_48,Product_002;Product_009,Product_010,0.7953366186737493
Customer_49,Product_008,Product_010,0.8856969909370127
Customer_50,Product_001,Product_010,0.8033770532240105
Customer_51,Product_010;Product_007;Product_008,Product_018,0.8757711178008011
Customer_52,Product_007;Product_001,Product_016,0.7566239055791228
Customer_53,Product_018,Product_011,0.7617903728788082
Customer_54,Product_005;Product_020,Product_008,0.7658204250683363
Customer_55,Product_002;Product_006;Product_011,Product_005,0.9825938295846794
Customer_56,Product_010,Product_001,0.9735541333597025
Customer_57,Product_010;Product_008;Product_020,Product_019,0.7998357676744444
Customer_58,Product_014;Product_001;Product_019,Product_020,0.8844380096179913
Customer_59,Product_002,Product_020,0.7162222946316272
Customer_60,Product_014,Product_018,0.979319712503582
Customer_61,Product_009;Product_003,Product_020,0.8037056377936544
Customer_62,Product_013,Product_008,0.9438189620720924
Customer_63,Product_007;Product_001,Product_018,0.7405329343891972
Customer_64,Product_008;Product_018;Product_017,Product_016,0.720791374899598
Customer_65,Product_012;Product_001;Product_005,Product_017,0.9517276790674203
Customer_66,Product_010,Product_004,0.8354272299158471
Customer_67,Product_015;Product_007;Product_005,Product_018,0.7036006937103401
Customer_68,Product_015;Product_019;Product_012,Product_003,0.7671957923084084
Customer_69,Product_006;Product_020;Product_014,Product_016,0.7890520661802979
Customer_70,Product_014;Product_008,Product_013,0.9239716255296282
Customer_71,Product_008,Product_004,0.7041109175550033
